Year,RaceName,Driver,DriverNumber,TotalLapsCompleted,IsPersonalBest,TyreLife,RegulationEra,LapTime,FinalStintCompound,Team,Mean_SpeedI1,Mean_SpeedI2,Mean_SpeedFL,Mean_SpeedST,Mean_AirTemp,Mean_TrackTemp,Mean_WindSpeed,Mean_Humidity,Mean_TrackStatus,Overtakes_Per_Race,FinalPosition,FinalRaceTime
2019,Abu Dhabi Grand Prix,ALB,23,55,True,42.0,0,103.907636363,HARD,Red Bull Racing,273.83,288.84,214.87,296.42,25.73,28.86,1.25,66.3,1.2,4,6,7726.302
2019,Abu Dhabi Grand Prix,BOT,77,55,True,32.0,0,103.456254545,HARD,Mercedes,279.25,293.09,217.17,300.02,25.73,28.86,1.25,66.29,1.2,11,4,7701.476
2019,Abu Dhabi Grand Prix,GAS,10,53,True,52.0,0,105.29726923,HARD,Toro Rosso,276.1,284.52,215.16,290.5,25.7,28.83,1.24,66.48,1.21,1,18,7668.383
2019,Abu Dhabi Grand Prix,GIO,99,54,True,28.0,0,106.157074074,MEDIUM,Alfa Romeo Racing,276.05,292.89,215.48,299.83,25.72,28.84,1.25,66.34,1.2,4,16,7743.864
2019,Abu Dhabi Grand Prix,GRO,8,54,True,37.0,0,105.934574074,HARD,Haas F1 Team,280.9,291.61,211.04,303.6,25.72,28.83,1.24,66.3,1.2,8,15,7731.849
2019,Abu Dhabi Grand Prix,HAM,44,55,True,29.0,0,102.649363636,HARD,Mercedes,276.16,287.04,217.7,295.46,25.73,28.88,1.22,66.26,1.2,0,1,7657.097
2019,Abu Dhabi Grand Prix,HUL,27,54,True,36.0,0,105.168407407,MEDIUM,Renault,276.7,291.17,214.75,304.72,25.73,28.86,1.25,66.26,1.2,10,12,7690.476
2019,Abu Dhabi Grand Prix,KUB,88,53,True,29.0,0,106.971188679,MEDIUM,Williams,271.09,287.34,214.4,296.42,25.72,28.87,1.26,66.26,1.21,4,19,7680.855
2019,Abu Dhabi Grand Prix,KVY,26,54,True,40.0,0,105.059925925,MEDIUM,Toro Rosso,274.85,292.11,217.08,299.43,25.72,28.87,1.24,66.25,1.2,9,9,7684.618
2019,Abu Dhabi Grand Prix,LEC,16,55,True,26.0,0,103.439090909,SOFT,Ferrari,282.37,296.96,216.91,299.65,25.73,28.87,1.25,66.28,1.2,2,3,7700.532
2019,Abu Dhabi Grand Prix,MAG,20,54,True,35.0,0,105.58324074,HARD,Haas F1 Team,277.16,292.22,211.87,297.8,25.72,28.84,1.23,66.28,1.2,6,14,7712.877
2019,Abu Dhabi Grand Prix,NOR,4,54,True,46.0,0,105.036648148,HARD,McLaren,273.27,291.95,216.35,297.24,25.72,28.88,1.25,66.27,1.2,9,8,7683.361
2019,Abu Dhabi Grand Prix,PER,11,54,True,37.0,0,105.011444444,HARD,Racing Point,281.05,293.04,214.17,306.19,25.72,28.87,1.25,66.25,1.2,8,7,7682.0
2019,Abu Dhabi Grand Prix,RAI,7,54,True,32.0,0,105.305462962,HARD,Alfa Romeo Racing,278.22,293.31,212.7,298.63,25.72,28.84,1.22,66.27,1.2,10,13,7697.877
2019,Abu Dhabi Grand Prix,RIC,3,54,True,31.0,0,105.143277777,SOFT,Renault,276.5,294.02,214.27,307.24,25.72,28.85,1.23,66.27,1.2,10,11,7689.119
2019,Abu Dhabi Grand Prix,RUS,63,54,True,32.0,0,106.361092592,MEDIUM,Williams,272.77,290.33,214.77,302.24,25.71,28.84,1.27,66.38,1.2,6,17,7754.881
2019,Abu Dhabi Grand Prix,SAI,55,54,True,29.0,0,105.126592592,MEDIUM,McLaren,282.26,295.47,217.1,304.29,25.72,28.86,1.24,66.27,1.2,9,10,7688.218
2019,Abu Dhabi Grand Prix,STR,18,45,True,22.0,0,106.953977777,SOFT,Racing Point,277.05,280.36,215.64,299.71,25.85,29.13,1.24,65.38,1.24,3,18,6824.311
2019,Abu Dhabi Grand Prix,VER,33,55,True,30.0,0,102.95430909,HARD,Red Bull Racing,274.2,287.85,217.48,294.64,25.73,28.87,1.25,66.25,1.2,2,2,7673.869
2019,Abu Dhabi Grand Prix,VET,5,55,True,26.0,0,103.819490909,MEDIUM,Ferrari,280.98,296.07,217.09,302.9,25.72,28.87,1.25,66.32,1.2,4,5,7721.454
2019,Australian Grand Prix,ALB,23,57,True,43.0,0,90.815736842,MEDIUM,Toro Rosso,270.07,286.13,288.39,290.66,23.34,40.36,1.21,70.79,1.39,4,14,7189.451
2019,Australian Grand Prix,BOT,77,58,True,35.0,0,88.402155172,MEDIUM,Mercedes,269.79,279.86,284.3,290.35,23.34,40.4,1.24,70.81,1.38,1,1,7140.279
2019,Australian Grand Prix,GAS,10,57,True,37.0,0,90.096403508,SOFT,Red Bull Racing,272.12,287.42,296.43,297.85,23.34,40.39,1.2,70.83,1.39,8,11,7148.449
2019,Australian Grand Prix,GIO,99,57,True,30.0,0,91.190561403,SOFT,Alfa Romeo Racing,272.18,281.75,282.64,290.9,23.34,40.34,1.26,70.78,1.39,6,15,7210.816
2019,Australian Grand Prix,GRO,8,29,True,18.0,0,91.72075862,MEDIUM,Haas F1 Team,270.12,280.96,285.21,285.0,23.43,41.96,1.21,70.3,1.38,2,13,4672.856
2019,Australian Grand Prix,HAM,44,58,True,43.0,0,88.76225862,MEDIUM,Mercedes,268.8,282.26,284.25,288.75,23.34,40.38,1.24,70.78,1.38,2,2,7161.165
2019,Australian Grand Prix,HUL,27,57,True,44.0,0,90.044280701,HARD,Renault,266.77,279.73,285.7,287.9,23.34,40.39,1.22,70.8,1.39,5,7,7145.478
2019,Australian Grand Prix,KUB,88,55,True,27.0,0,94.167472727,SOFT,Williams,263.02,274.37,280.6,282.05,23.34,40.34,1.25,70.79,1.4,2,17,7192.165
2019,Australian Grand Prix,KVY,26,57,True,32.0,0,90.090526315,HARD,Toro Rosso,271.37,286.25,294.3,298.32,23.34,40.39,1.21,70.81,1.39,6,10,7148.114
2019,Australian Grand Prix,LEC,16,58,True,31.0,0,89.406120689,HARD,Ferrari,266.0,274.32,280.4,278.44,23.34,40.36,1.26,70.79,1.38,3,5,7198.509
2019,Australian Grand Prix,MAG,20,58,True,44.0,0,89.904844827,MEDIUM,Haas F1 Team,268.93,277.26,280.4,282.57,23.34,40.33,1.23,70.78,1.38,4,6,7227.435
2019,Australian Grand Prix,NOR,4,57,True,42.0,0,90.794017543,HARD,McLaren,270.37,282.75,288.75,291.65,23.34,40.36,1.22,70.81,1.74,4,12,7188.213
2019,Australian Grand Prix,PER,11,57,True,44.0,0,90.803315789,HARD,Racing Point,268.64,284.64,288.8,293.95,23.34,40.37,1.19,70.79,1.39,5,13,7188.743
2019,Australian Grand Prix,RAI,7,57,True,45.0,0,90.065070175,MEDIUM,Alfa Romeo Racing,273.96,285.96,286.39,294.04,23.34,40.39,1.22,70.79,1.39,7,8,7146.663
2019,Australian Grand Prix,RIC,3,28,True,27.0,0,92.832928571,HARD,Renault,262.68,274.63,280.48,279.68,23.43,41.97,1.26,70.32,1.39,4,16,4612.276
2019,Australian Grand Prix,RUS,63,56,True,26.0,0,92.446517857,HARD,Williams,258.65,275.63,282.39,285.13,23.34,40.39,1.22,70.77,1.39,3,16,7189.959
2019,Australian Grand Prix,SAI,55,9,True,9.0,0,92.770333333,SOFT,McLaren,264.67,286.43,298.22,288.14,23.57,43.2,1.26,70.01,2.22,0,14,2847.887
2019,Australian Grand Prix,STR,18,57,True,30.0,0,90.078263157,HARD,Racing Point,269.87,285.8,289.27,296.47,23.34,40.39,1.21,70.81,1.39,5,9,7147.415
2019,Australian Grand Prix,VER,33,58,True,33.0,0,88.790431034,MEDIUM,Red Bull Racing,274.95,283.0,285.14,289.74,23.34,40.38,1.25,70.77,1.38,5,3,7162.799
2019,Australian Grand Prix,VET,5,58,True,44.0,0,89.386793103,MEDIUM,Ferrari,266.0,273.98,279.33,280.89,23.35,40.36,1.27,70.77,1.38,2,4,7197.388
2019,Austrian Grand Prix,ALB,23,70,True,35.0,0,70.831642857,HARD,Toro Rosso,295.0,230.39,274.12,292.24,34.79,50.45,1.22,17.19,1.0,7,15,6930.793
2019,Austrian Grand Prix,BOT,77,71,True,50.0,0,69.588478873,HARD,Mercedes,293.44,232.35,274.56,292.9,34.79,50.46,1.19,17.18,1.0,2,3,6913.36
2019,Austrian Grand Prix,GAS,10,70,True,45.0,0,70.414771428,HARD,Red Bull Racing,300.11,226.11,275.54,295.77,34.79,50.46,1.2,17.19,1.0,7,7,6901.612
2019,Austrian Grand Prix,GIO,99,70,True,46.0,0,70.613928571,HARD,Alfa Romeo Racing,297.43,229.94,273.99,293.74,34.79,50.45,1.21,17.19,1.0,6,10,6915.553
2019,Austrian Grand Prix,GRO,8,70,True,36.0,0,70.945114285,HARD,Haas F1 Team,286.57,227.26,267.99,284.53,34.79,50.44,1.19,17.18,1.0,3,16,6938.736
2019,Austrian Grand Prix,HAM,44,71,True,41.0,0,69.642633802,HARD,Mercedes,292.92,233.58,273.49,291.73,34.79,50.46,1.19,17.19,1.0,3,5,6917.205
2019,Austrian Grand Prix,HUL,27,70,True,44.0,0,70.694471428,HARD,Renault,295.54,228.5,272.36,291.67,34.79,50.45,1.21,17.19,1.0,6,13,6921.191
2019,Austrian Grand Prix,KUB,88,68,True,49.0,0,72.564147058,HARD,Williams,298.02,225.84,270.7,297.62,34.8,50.46,1.2,17.18,1.0,1,20,6906.94
2019,Austrian Grand Prix,KVY,26,70,True,38.0,0,71.253114285,HARD,Toro Rosso,288.3,226.09,269.04,287.21,34.79,50.45,1.19,17.19,1.0,3,17,6960.296
2019,Austrian Grand Prix,LEC,16,71,True,49.0,0,69.359802816,HARD,Ferrari,295.98,235.42,274.87,294.44,34.79,50.47,1.21,17.15,1.0,2,2,6897.124
2019,Austrian Grand Prix,MAG,20,69,True,51.0,0,71.879608695,SOFT,Haas F1 Team,286.41,226.99,266.65,285.07,34.8,50.46,1.23,17.19,1.0,1,19,6932.271
2019,Austrian Grand Prix,NOR,4,70,True,45.0,0,70.3327,MEDIUM,McLaren,296.32,230.89,273.59,293.79,34.8,50.46,1.2,17.21,1.0,6,6,6895.867
2019,Austrian Grand Prix,PER,11,70,True,42.0,0,70.653214285,HARD,Racing Point,301.11,228.41,274.1,298.8,34.79,50.45,1.21,17.19,1.0,6,11,6918.303
2019,Austrian Grand Prix,RAI,7,70,True,47.0,0,70.604471428,HARD,Alfa Romeo Racing,291.7,225.06,271.78,292.33,34.79,50.45,1.2,17.19,1.0,8,9,6914.891
2019,Austrian Grand Prix,RIC,3,70,True,46.0,0,70.6698,SOFT,Renault,298.18,227.49,272.94,295.97,34.79,50.45,1.2,17.19,1.0,9,12,6919.464
2019,Austrian Grand Prix,RUS,63,69,True,42.0,0,71.562782608,HARD,Williams,298.07,226.83,272.28,297.01,34.8,50.46,1.19,17.17,1.0,2,18,6910.41
2019,Austrian Grand Prix,SAI,55,70,True,41.0,0,70.574342857,HARD,McLaren,296.19,228.04,276.51,295.25,34.79,50.46,1.22,17.17,1.0,14,8,6912.782
2019,Austrian Grand Prix,STR,18,70,True,45.0,0,70.807728571,HARD,Racing Point,300.45,228.14,272.84,295.97,34.79,50.45,1.21,17.19,1.0,7,14,6929.119
2019,Austrian Grand Prix,VER,33,71,True,40.0,0,69.321436619,HARD,Red Bull Racing,297.58,234.73,276.36,295.62,34.79,50.46,1.19,17.19,1.0,8,1,6894.4
2019,Austrian Grand Prix,VET,5,71,True,29.0,0,69.597633802,SOFT,Ferrari,298.45,234.4,276.29,297.28,34.79,50.46,1.16,17.19,1.0,7,4,6914.01
2019,Azerbaijan Grand Prix,ALB,23,50,True,38.0,0,110.61798,MEDIUM,Toro Rosso,189.22,205.34,317.61,312.58,19.49,38.75,1.34,52.87,15.56,9,11,7548.497
2019,Azerbaijan Grand Prix,BOT,77,51,True,39.0,0,108.09690196,MEDIUM,Mercedes,204.69,221.04,303.76,308.16,19.5,38.79,1.41,52.78,15.67,3,1,7530.54
2019,Azerbaijan Grand Prix,GAS,10,38,True,38.0,0,108.450736842,MEDIUM,Red Bull Racing,201.73,212.55,316.29,315.26,19.5,39.66,1.27,52.96,2.11,9,6,6138.726
2019,Azerbaijan Grand Prix,GIO,99,50,True,43.0,0,110.66784,MEDIUM,Alfa Romeo Racing,191.11,203.04,321.27,315.62,19.5,38.74,1.36,52.87,15.56,9,12,7550.99
2019,Azerbaijan Grand Prix,GRO,8,38,True,34.0,0,112.330289473,SOFT,Haas F1 Team,188.16,203.63,318.31,310.82,19.52,39.63,1.33,52.98,4.87,7,16,6286.149
2019,Azerbaijan Grand Prix,HAM,44,51,True,38.0,0,108.126784313,MEDIUM,Mercedes,201.54,222.8,304.36,311.12,19.49,38.77,1.35,52.79,15.67,3,2,7532.064
2019,Azerbaijan Grand Prix,HUL,27,50,True,26.0,0,111.7225,SOFT,Renault,191.22,204.64,304.21,308.96,19.49,38.72,1.37,52.82,17.44,8,14,7603.723
2019,Azerbaijan Grand Prix,KUB,88,49,True,23.0,0,113.452530612,SOFT,Williams,189.62,204.51,298.09,304.59,19.5,38.77,1.31,52.81,17.67,8,16,7576.772
2019,Azerbaijan Grand Prix,KVY,26,33,True,28.0,0,111.864696969,MEDIUM,Toro Rosso,192.45,204.15,316.1,313.15,19.52,39.98,1.32,52.96,1.67,6,17,5709.133
2019,Azerbaijan Grand Prix,LEC,16,51,True,34.0,0,109.451941176,SOFT,Ferrari,206.11,217.16,311.47,308.43,19.49,38.76,1.38,52.78,17.51,8,5,7599.647
2019,Azerbaijan Grand Prix,MAG,20,50,True,32.0,0,111.22322,SOFT,Haas F1 Team,190.53,204.9,315.42,309.98,19.5,38.73,1.37,52.82,15.56,8,13,7578.759
2019,Azerbaijan Grand Prix,NOR,4,51,True,30.0,0,109.24402,SOFT,McLaren,193.73,210.28,315.33,308.8,19.49,38.73,1.35,52.82,3.94,4,8,7630.808
2019,Azerbaijan Grand Prix,PER,11,51,True,41.0,0,109.595254901,MEDIUM,Racing Point,198.18,211.49,312.34,311.22,19.48,38.7,1.35,52.82,17.02,4,6,7606.956
2019,Azerbaijan Grand Prix,RAI,7,50,True,44.0,0,110.564,MEDIUM,Alfa Romeo Racing,194.94,210.56,316.8,311.78,19.5,38.76,1.35,52.86,17.34,9,10,7545.798
